epoch:52    train_loss:31.86029052734375    test_loss:38.34221649169922
epoch:53    train_loss:31.757312774658203    test_loss:38.26945114135742
epoch:54    train_loss:30.984943389892578    test_loss:37.7601432800293
epoch:55    train_loss:30.775367736816406    test_loss:37.65433883666992
epoch:56    train_loss:30.43120765686035    test_loss:37.576866149902344
epoch:57    train_loss:30.00913429260254    test_loss:37.327571868896484
epoch:58    train_loss:29.84035873413086    test_loss:37.17022705078125
epoch:59    train_loss:29.48737335205078    test_loss:37.17047882080078
epoch:60    train_loss:29.394628524780273    test_loss:36.91377639770508
epoch:61    train_loss:29.300662994384766    test_loss:37.09397506713867
epoch:62    train_loss:28.692548751831055    test_loss:36.58204650878906
epoch:63    train_loss:28.736886978149414    test_loss:36.7940673828125
epoch:64    train_loss:28.377593994140625    test_loss:36.56018829345703
epoch:65    train_loss:28.34758949279785    test_loss:36.8536491394043
epoch:66    train_loss:28.0835018157959    test_loss:36.537818908691406
epoch:67    train_loss:27.927772521972656    test_loss:36.48766326904297
epoch:68    train_loss:27.698246002197266    test_loss:36.52425765991211
epoch:69    train_loss:27.703758239746094    test_loss:36.38776779174805
epoch:70    train_loss:27.474992752075195    test_loss:36.29547119140625
epoch:71    train_loss:27.439678192138672    test_loss:36.5660400390625
epoch:72    train_loss:27.41397476196289    test_loss:36.43015670776367
epoch:73    train_loss:27.43796730041504    test_loss:36.59020233154297
epoch:74    train_loss:27.068435668945312    test_loss:36.268882751464844
epoch:75    train_loss:26.75330924987793    test_loss:36.25154113769531
epoch:76    train_loss:26.6652889251709    test_loss:36.10192108154297
epoch:77    train_loss:26.445648193359375    test_loss:35.97711181640625
epoch:78    train_loss:26.414220809936523    test_loss:36.23527908325195
epoch:79    train_loss:26.370763778686523    test_loss:36.135528564453125
epoch:80    train_loss:26.25041961669922    test_loss:36.205265045166016
epoch:81    train_loss:26.04857635498047    test_loss:35.845726013183594
epoch:82    train_loss:26.323017120361328    test_loss:36.03110885620117
epoch:83    train_loss:26.471054077148438    test_loss:36.166011810302734
epoch:84    train_loss:26.271745681762695    test_loss:36.28947448730469
epoch:85    train_loss:25.679542541503906    test_loss:35.941650390625
epoch:86    train_loss:25.73009490966797    test_loss:35.75926208496094
epoch:87    train_loss:25.61884307861328    test_loss:35.902679443359375
epoch:88    train_loss:25.474925994873047    test_loss:35.833736419677734
epoch:89    train_loss:25.757286071777344    test_loss:35.99949264526367
epoch:90    train_loss:25.244874954223633    test_loss:35.84462356567383
epoch:91    train_loss:25.377742767333984    test_loss:35.809513092041016
epoch:92    train_loss:25.117755889892578    test_loss:35.703857421875
epoch:93    train_loss:25.204288482666016    test_loss:35.80845642089844
epoch:94    train_loss:25.124855041503906    test_loss:35.54035186767578
epoch:95    train_loss:25.051973342895508    test_loss:35.66991424560547
epoch:96    train_loss:25.161935806274414    test_loss:35.65440368652344
epoch:97    train_loss:24.91364288330078    test_loss:35.537357330322266
